sample_id,akkermansia,alistipes,bacteroides,bifidobacterium,faecalibacterium,lactobacillus,prevotella,roseburia
10317.000005636,0.0,0.0,9.0,23.0,2.0,29.0,107.0,0.0
10317.000005637,1.0,0.0,26.0,8.0,1.0,25.0,95.0,0.0
10317.000005634,0.0,0.0,6.0,2.0,1.0,3.0,11.0,0.0
10317.000007117,3.0,0.0,89.0,0.0,6.0,453.0,250.0,0.0
10317.000005221,0.0,0.0,16.0,2.0,4.0,22.0,423.0,2.0
10317.000005598,5.0,0.0,157.0,1.0,71.0,382.0,48.0,8.0
10317.000015494,34.0,0.0,240.0,193.0,291.0,953.0,95.0,19.0
10317.000007346,0.0,0.0,6.0,2.0,2.0,4.0,4.0,5.0
10317.000012589,0.0,0.0,114.0,142.0,208.0,256.0,146.0,4.0
10317.000069142,9.0,0.0,68.0,6.0,36.0,576.0,254.0,2.0
10317.000007797,1.0,0.0,50.0,131.0,9.0,41.0,407.0,2.0
10317.000015216,4.0,0.0,95.0,1.0,19.0,311.0,136.0,0.0
10317.000005597,0.0,0.0,9.0,0.0,8.0,7.0,4.0,0.0
10317.000007115,103.0,0.0,1063.0,180.0,21.0,1858.0,231.0,7.0
10317.000009713,1.0,0.0,33.0,1.0,12.0,75.0,198.0,3.0
10317.000015465,3.0,0.0,69.0,1.0,6.0,32.0,413.0,3.0
10317.000007112,0.0,0.0,25.0,4.0,32.0,33352.0,237.0,0.0
10317.000033403,1.0,0.0,16.0,0.0,19.0,7.0,70.0,1.0
10317.000012434,1.0,0.0,2713.0,59.0,2423.0,60.0,84.0,10.0
10317.000012440,0.0,0.0,1128.0,44.0,485.0,30.0,62.0,3.0
10317.000012452,12.0,0.0,152.0,4.0,81.0,191.0,52.0,6.0
10317.000012460,0.0,0.0,26.0,15.0,12.0,134.0,196.0,1.0
10317.000063315,0.0,0.0,10.0,14.0,6.0,45.0,60.0,3.0
10317.000063387,0.0,0.0,12.0,3.0,8.0,163.0,63.0,4.0
10317.000063440,0.0,0.0,2.0,7.0,3.0,41.0,29.0,0.0
10317.000063447,0.0,0.0,20.0,4.0,3.0,19.0,2.0,0.0
10317.000063255,1.0,0.0,117.0,24.0,62.0,135.0,76.0,23.0
10317.000009711,0.0,0.0,18.0,9.0,5.0,72.0,183.0,1.0
10317.000021801,0.0,0.0,21.0,4.0,5.0,40.0,625.0,0.0
10317.000007374,0.0,0.0,15.0,17.0,21.0,263.0,79.0,0.0
10317.000012510,0.0,0.0,1443.0,185.0,926.0,58.0,20.0,55.0
10317.000012518,2.0,0.0,12.0,2.0,32.0,197.0,29.0,8.0
10317.000012828,1.0,0.0,2387.0,2.0,877.0,14.0,454.0,114.0
10317.000010475,0.0,0.0,58.0,30.0,37.0,144.0,19.0,0.0
10317.000007113,1.0,0.0,23.0,0.0,3.0,5.0,19.0,0.0
10317.000007785,0.0,0.0,8.0,771.0,5.0,471.0,135.0,1.0
10317.000007122,133.0,0.0,638.0,33.0,264.0,1819.0,610.0,26.0
10317.000012447,0.0,0.0,112.0,8.0,1.0,41.0,59.0,0.0
10317.000012515,0.0,0.0,57.0,0.0,13.0,97.0,3.0,0.0
10317.000012659,0.0,0.0,117.0,0.0,2.0,32.0,21.0,1.0
10317.000062190,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0
10317.000004060,1.0,0.0,38.0,4.0,6.0,44.0,71.0,1.0
10317.000049294,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0
